EV; HR; LT; LG; NV; VL; NL; DG; SV; DT
105;20200213225529;-19.847750;-43.917685;40346;6;416;241;1;5864
105;20200213225530;-19.973412;-43.945895;31033;42;243;16;1;29629
105;20200213225526;-19.915002;-43.942955;40789;13;1307;196;1;12680
105;20200213225525;-19.874594;-43.957616;11074;43;693;40;1;16543
105;20200213225527;-19.897058;-43.949671;10860;12;753;350;1;12138
105;20200213225529;-19.859707;-43.916914;10657;32;5541;65;1;2491
105;20200213225531;-19.870577;-44.010064;40797;0;7121;0;0;646
105;20200213225358;-19.963808;-43.964128;30963;0;5286;0;0;5004
105;20200213225524;-19.945134;-43.989365;30656;0;107;82;0;2506
105;20200213225527;-19.801030;-43.987324;20462;15;527;268;1;2719
105;20200213225530;-19.824882;-44.021608;10944;20;297;249;1;355
105;20200213225530;-19.843193;-43.973630;40391;0;6821;0;1;821
105;20200213225531;-19.904630;-43.934922;20478;49;5397;249;1;5373
105;20200213225528;-19.875032;-43.909281;30410;0;651;0;0;4573
105;20200213225531;-19.934659;-43.931887;30754;0;5713;194;1;19517
105;20200213225533;-19.894232;-43.987139;20635;16;5708;267;1;4138
105;20200213225527;-19.970867;-43.965432;40412;19;592;225;1;16440
105;20200213225526;-19.884978;-43.979789;11025;0;305;117;0;3751
105;20200213225532;-19.886301;-43.951375;20586;48;952;2;2;16072
105;20200213225529;-19.944826;-43.988749;30386;0;107;280;0;10612
105;20200213225531;-19.911481;-43.929667;20374;34;590;12;2;5384
105;20200213225528;-19.858917;-43.914365;20763;52;3695;81;1;4116
105;20200213225359;-19.886215;-43.979527;10827;0;402;0;0;3333
105;20200213225526;-19.959699;-43.989231;30184;22;238;30;0;5948
105;20200213225549;-19.875321;-43.909325;20343;0;565;0;0;2122
105;20200213225550;-19.962099;-43.989304;30727;0;3637;0
105;20200213225400;-19.919641;-43.997114;31039;0;660;70;0;6632
105;20200213225529;-19.932430;-43.938819;20704;2;624;196;1;6159
105;20200213225400;-19.952577;-43.969959;30846;2;899;351
105;20200213225531;-19.802186;-43.953679;11055;18;1863;274;1;11396
105;20200213225529;-19.920641;-43.943316;30408;9;1066;291;1;12220
